pheno	pheno_code	idp
intelligence	ebi-a-GCST006250	IDP-25059
fluid_intelligence	ukb-b-5238	IDP-25059
intelligence	ebi-a-GCST006250	IDP-25068
fluid_intelligence	ukb-b-5238	IDP-25068
intelligence	ebi-a-GCST006250	IDP-25156
fluid_intelligence	ukb-b-5238	IDP-25156
intelligence	ebi-a-GCST006250	IDP-25222
fluid_intelligence	ukb-b-5238	IDP-25222
intelligence	ebi-a-GCST006250	IDP-25241
fluid_intelligence	ukb-b-5238	IDP-25241
intelligence	ebi-a-GCST006250	IDP-25299
fluid_intelligence	ukb-b-5238	IDP-25299
intelligence	ebi-a-GCST006250	IDP-25356
fluid_intelligence	ukb-b-5238	IDP-25356
intelligence	ebi-a-GCST006250	IDP-25357
fluid_intelligence	ukb-b-5238	IDP-25357
intelligence	ebi-a-GCST006250	IDP-25440
fluid_intelligence	ukb-b-5238	IDP-25440
intelligence	ebi-a-GCST006250	IDP-25466
fluid_intelligence	ukb-b-5238	IDP-25466
intelligence	ebi-a-GCST006250	IDP-25525
fluid_intelligence	ukb-b-5238	IDP-25525
intelligence	ebi-a-GCST006250	IDP-25530
fluid_intelligence	ukb-b-5238	IDP-25530
